"crash_unit_id","crash_record_id","rd_no","crash_date","unit_no","unit_type","num_passengers","vehicle_id","cmrc_veh_i","make","model","lic_plate_state","vehicle_year","vehicle_defect","vehicle_type","vehicle_use","travel_direction","maneuver","towed_i","fire_i","occupant_cnt","exceed_speed_limit_i","towed_by","towed_to","area_00_i","area_01_i","area_02_i","area_03_i","area_04_i","area_05_i","area_06_i","area_07_i","area_08_i","area_09_i","area_10_i","area_11_i","area_12_i","area_99_i","first_contact_point","cmv_id","usdot_no","ccmc_no","ilcc_no","commercial_src","gvwr","carrier_name","carrier_state","carrier_city","hazmat_placards_i","hazmat_name","un_no","hazmat_present_i","hazmat_report_i","hazmat_report_no","mcs_report_i","mcs_report_no","hazmat_vio_cause_crash_i","mcs_vio_cause_crash_i","idot_permit_no","wide_load_i","trailer1_width","trailer2_width","trailer1_length","trailer2_length","total_vehicle_length","axle_cnt","vehicle_config","cargo_body_type","load_type","hazmat_out_of_service_i","mcs_out_of_service_i","hazmat_class"
"1255348","db62bb4534d0dae57112ea3ff8d50193784aaa732ed58d1fe2f7ccb826798a0e6c56cf119a5102e696b79aa081ef0af9f96ba1779d17bc7fcc258675d53ae540","JE494000","2021-12-31T13:45:00.000","2","DRIVER",,"1191606",,"TOYOTA","COROLLA","IL","2006","NONE","PASSENGER","PERSONAL","E","STRAIGHT AHEAD",,,"1",,,,,"Y","Y","Y","Y","Y",,,,,,,,,"REAR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1255362","7be2d128e14efdcb70fdbf27dbe8fd18f31a045118f2b03095d02cc94e1d425027841c74d144734dc8ed2e59b29bb8a351ef18db34649ca75dff5e009bc5a746","JE493993","2021-12-31T13:40:00.000","1","DRIVER",,"1191619",,"LINCOLN","MKZ","IL","2010","NONE","PASSENGER","PERSONAL","E","STRAIGHT AHEAD","Y",,"1",,"E&R TOWING","POUND",,"Y",,,,,,,,,,"Y","Y",,"OTHER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1255363","7be2d128e14efdcb70fdbf27dbe8fd18f31a045118f2b03095d02cc94e1d425027841c74d144734dc8ed2e59b29bb8a351ef18db34649ca75dff5e009bc5a746","JE493993","2021-12-31T13:40:00.000","2","DRIVER",,"1191626",,"MITSUBISHI","OTHER (EXPLAIN IN NARRATIVE)","IL","2022","NONE","SPORT UTILITY VEHICLE (SUV)","PERSONAL","SE","SLOW/STOP IN TRAFFIC",,,"1",,,,,,,,,"Y","Y","Y",,,,,,,"REAR-LEFT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1255364","7be2d128e14efdcb70fdbf27dbe8fd18f31a045118f2b03095d02cc94e1d425027841c74d144734dc8ed2e59b29bb8a351ef18db34649ca75dff5e009bc5a746","JE493993","2021-12-31T13:40:00.000","3","DRIVER","2","1191638",,"CHEVROLET","SILVERADO","IL","2020","NONE","PICKUP","PERSONAL","NW","TURNING LEFT",,,"3",,,,,,,,,,,,"Y","Y","Y",,,,"ROOF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1255356","b21c3c048ac319f0fca67804ab0fce0149c97d11a850fff5aba1e5d123ae0cbaec29799c1bc7e289e70303e2167606867a2e888220a341464d5d2818e8745b9f","JE494019","2021-12-31T13:31:00.000","1","DRIVER",,"1191610",,"FORD","F350","IL","2019","NONE","OTHER","TOW TRUCK","NW","STRAIGHT AHEAD",,,"1",,,,,,,,,,,,,,,"Y",,,"TOTAL (ALL AREAS)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1255357","b21c3c048ac319f0fca67804ab0fce0149c97d11a850fff5aba1e5d123ae0cbaec29799c1bc7e289e70303e2167606867a2e888220a341464d5d2818e8745b9f","JE494019","2021-12-31T13:31:00.000","2","DRIVER",,"1191621",,"CHEVROLET","TAHOE",,"2019","NONE","PASSENGER","PERSONAL","NW","STRAIGHT AHEAD","Y",,"1",,,,,,,"Y","Y","Y",,,,,,,,,"REAR-RIGHT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1255954","0ff41d1ad3fb1e9bba0015c72222f5569df3b1254ce9d09e8aaf2414f408e31fc293b445df4c28a3e3cccf0fc89adc33e08720ed706c27a110c92ba5854a77a4","JF100566","2021-12-31T13:30:00.000","1","DRIVER",,"1192147",,"UNKNOWN","OTHER (EXPLAIN IN NARRATIVE)",,,"UNKNOWN","UNKNOWN/NA","UNKNOWN/NA","UNKNOWN","UNKNOWN/NA",,,"1",,,,,,,,,,,,,,,,,"Y","UNKNOWN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1255955","0ff41d1ad3fb1e9bba0015c72222f5569df3b1254ce9d09e8aaf2414f408e31fc293b445df4c28a3e3cccf0fc89adc33e08720ed706c27a110c92ba5854a77a4","JF100566","2021-12-31T13:30:00.000","2","PARKED",,"1192150",,"SUBARU","FORESTER","IL","2016","UNKNOWN","SPORT UTILITY VEHICLE (SUV)","NOT IN USE","N","PARKED",,,"0",,,,,"Y",,,,,,,,,,,,,"FRONT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1255339","1c34763adabf56d36bdf33806e026a5f6794b1e7a3ca5c43ca4d7ef8d9bd13c70989498247ef0428df9ee1f83f66863bd254e5042510c7c462ff2fe4812468ac","JE494010","2021-12-31T13:30:00.000","1","DRIVER",,"1191597",,"CHRYSLER","OTHER (EXPLAIN IN NARRATIVE)","IL","2011","UNKNOWN","PASSENGER","PERSONAL","E","STRAIGHT AHEAD",,,"1",,,,,"Y",,,,,,,,,,"Y","Y",,"OTHER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1255340","1c34763adabf56d36bdf33806e026a5f6794b1e7a3ca5c43ca4d7ef8d9bd13c70989498247ef0428df9ee1f83f66863bd254e5042510c7c462ff2fe4812468ac","JE494010","2021-12-31T13:30:00.000","2","DRIVER",,"1191599",,"JEEP","PATRIOT","IL","2016","UNKNOWN","PASSENGER","PERSONAL","E","STRAIGHT AHEAD",,,"1",,,,,,,,,"Y","Y","Y",,,,,,,"REAR-LEFT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1255325","1e45565493f63101bf704046d6ecfec55f57c832334671cf7043df50f1222915174a4053d8b6b4320262dceb519dd5720f08ae7b2a4fa2b4a668c1fc6319f2a8","JE493968","2021-12-31T13:30:00.000","1","PARKED","1","1191578",,"GENERAL MOTORS CORPORATION (GMC)","TRUCK","AZ","2008","UNKNOWN","TRUCK - SINGLE UNIT","PERSONAL","N","PARKED",,,"1",,,,,,,,,,,,,"Y","Y","N",,,"ROOF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1255326","1e45565493f63101bf704046d6ecfec55f57c832334671cf7043df50f1222915174a4053d8b6b4320262dceb519dd5720f08ae7b2a4fa2b4a668c1fc6319f2a8","JE493968","2021-12-31T13:30:00.000","2","DRIVER","1","1191584",,"TOYOTA","HIGHLANDER","IL","2013","NONE","PASSENGER","PERSONAL","N","STRAIGHT AHEAD",,,"2",,,,,"N","Y","Y",,,,,,,,,,,"SIDE-RIGHT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1255492","77431b38762c7d632f83881886b3a1c94a52f6cb17ad6eedfee76629d0f68ad6def7faaa8fa348e4c706996b4c45476a864223b5c0e7e76cfff2b41ba4d527a4","JE494024","2021-12-31T13:30:00.000","1","DRIVER",,"1191741",,"UNKNOWN","OTHER (EXPLAIN IN NARRATIVE)",,,"UNKNOWN","PASSENGER","UNKNOWN/NA","S","STRAIGHT AHEAD",,,"1",,,,,,,,,,,,,,,,,,"UNKNOWN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1255493","77431b38762c7d632f83881886b3a1c94a52f6cb17ad6eedfee76629d0f68ad6def7faaa8fa348e4c706996b4c45476a864223b5c0e7e76cfff2b41ba4d527a4","JE494024","2021-12-31T13:30:00.000","2","PARKED",,"1191742",,"FORD","F150","IL","2021","NONE","PICKUP","PERSONAL","S","PARKED",,,"0",,,,,"N","Y","Y","Y","Y",,,,,,,,,"SIDE-RIGHT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1255927","7e1a75d221f1f538b80def6a7c5f9f522a3309108eb18f9d0cb43e7c0eaa00b826faa099391ab318e4988c3b7ca5670033be16f0d43c080471efd354b8de2f51","JE493975","2021-12-31T13:30:00.000","1","DRIVER",,"1192113",,"FORD","EXPLORER",,"2005","NONE","SPORT UTILITY VEHICLE (SUV)","PERSONAL","N","STRAIGHT AHEAD",,,"1",,,,,"Y",,,,,,,,,,"Y","Y",,"OTHER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1255928","7e1a75d221f1f538b80def6a7c5f9f522a3309108eb18f9d0cb43e7c0eaa00b826faa099391ab318e4988c3b7ca5670033be16f0d43c080471efd354b8de2f51","JE493975","2021-12-31T13:30:00.000","2","DRIVER",,"1192119",,"FORD","EDGE",,"2011","NONE","SPORT UTILITY VEHICLE (SUV)","PERSONAL","N","SLOW/STOP IN TRAFFIC",,,"1",,,,,,,,,"Y","Y",,,,,,,,"REAR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1255341","d190dd973dea076b750308dff1272f56fa724e93d8a54cb16ee56cbb070522c4ca87ec75ffc9a8c1c10971aa391d872096c92bee4351fead8e0b01a6caada0e7","JE493990","2021-12-31T13:30:00.000","1","DRIVER",,"1191595",,"HYUNDAI","TUCSON","IL","2012","UNKNOWN","PASSENGER","PERSONAL","S","ENTERING TRAFFIC LANE FROM PARKING",,,"1",,,,,,,,"Y","Y",,,,,,,,,"REAR-RIGHT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1255342","d190dd973dea076b750308dff1272f56fa724e93d8a54cb16ee56cbb070522c4ca87ec75ffc9a8c1c10971aa391d872096c92bee4351fead8e0b01a6caada0e7","JE493990","2021-12-31T13:30:00.000","2","PARKED",,"1191601",,"SCION","XA","IL","2006","UNKNOWN","PASSENGER","PERSONAL","S","PARKED",,,"0",,,,,,,,"Y","Y",,,,,,,,,"REAR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1256350","ff9ed4054cd9f4b2908d1e1ef79a4e70d752a0ba7907b22b071276601c1b2b983b557104350e906a691182b8c07f753462a5d72d906d0f7d4ca74ed0d8bbe387","JF101317","2021-12-31T13:30:00.000","1","DRIVER",,"1192530",,"JEEP","LIBERTY","IL",,"UNKNOWN","SPORT UTILITY VEHICLE (SUV)","PERSONAL","W","STRAIGHT AHEAD",,,"1",,,,,,,,,,,,,,,,"Y",,"OTHER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1256351","ff9ed4054cd9f4b2908d1e1ef79a4e70d752a0ba7907b22b071276601c1b2b983b557104350e906a691182b8c07f753462a5d72d906d0f7d4ca74ed0d8bbe387","JF101317","2021-12-31T13:30:00.000","2","DRIVER",,"1192535",,"MERCEDES-BENZ","C300",,,"NONE","PASSENGER","PERSONAL","W","SLOW/STOP IN TRAFFIC",,,"1",,,,,,,,,,"Y",,,,,,,,"REAR-LEFT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1255345","06961f67044ff197083bc79024a5aaab4ebbe7c404d70d08317ff06c1f5a20bfa80d9d52cf7fb6e3c492d9980a8852196589523eefea991e0c6fb8ee7b22b6df","JE493995","2021-12-31T13:28:00.000","1","DRIVER","1","1191598",,"HYUNDAI","ELANTRA","IL","2013","NONE","PASSENGER","PERSONAL","E","STRAIGHT AHEAD",,,"2",,,,,,,,,,,,,,,"Y","Y",,"OTHER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1255346","06961f67044ff197083bc79024a5aaab4ebbe7c404d70d08317ff06c1f5a20bfa80d9d52cf7fb6e3c492d9980a8852196589523eefea991e0c6fb8ee7b22b6df","JE493995","2021-12-31T13:28:00.000","2","DRIVER","1","1191603",,"NISSAN","ALTIMA","IL","2017","NONE","PASSENGER","PERSONAL","N","STRAIGHT AHEAD",,,"2",,,,,,,,,,,,"Y","Y","Y","Y",,,"ROOF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1256815","05a62c985bffdfb91b5fc5250b8cbb4cb0a0647bb06387151c752e49874a403fd5d864f4f2549404b19aa5f49c8f1b50f934fccf990aba764670588a215d8deb","JF102122","2021-12-31T13:00:00.000","1","DRIVER",,"1192982",,"HUMMER","HUMMER","IL",,"NONE","PASSENGER","PERSONAL","N","STRAIGHT AHEAD",,,"1",,,,,,,,,,,,,,,,"Y",,"OTHER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1256816","05a62c985bffdfb91b5fc5250b8cbb4cb0a0647bb06387151c752e49874a403fd5d864f4f2549404b19aa5f49c8f1b50f934fccf990aba764670588a215d8deb","JF102122","2021-12-31T13:00:00.000","2","DRIVER",,"1192977",,"CHEVROLET","VENTURE","IL","2002","NONE","PASSENGER","PERSONAL","N","STRAIGHT AHEAD",,,"1",,,,,,,,,,"Y",,,,,,,,"REAR-LEFT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1255294","0ccaf8fc934aca647afd767054141022c18b74d15c78a67c7477e1885c4f2b87d180001ace77fe993a909a5c3464dc9ff14873226e5ef0fa4a8bbcf3f3a1e9f6","JE493939","2021-12-31T13:00:00.000","1","DRIVER",,"1191564",,"HUMMER","HUMMER","IL","2003","NONE","PASSENGER","PERSONAL","N","STRAIGHT AHEAD",,,"1",,,,,"Y",,,,,,,,,,"Y","Y","Y","OTHER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1255295","0ccaf8fc934aca647afd767054141022c18b74d15c78a67c7477e1885c4f2b87d180001ace77fe993a909a5c3464dc9ff14873226e5ef0fa4a8bbcf3f3a1e9f6","JE493939","2021-12-31T13:00:00.000","2","PARKED",,"1191569",,"CHEVROLET","MALIBU","IL","2009","NONE","PASSENGER","PERSONAL","N","PARKED",,,"0",,,,,,,,,,"Y","Y",,,,,,,"SIDE-LEFT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1258505","9c863403d810d021c785ee768f4ceebdace75f5b4362125cdf5ab4878354be2fdd87dad89e20d7cc9eae3d7c87fe1663e574fa94e83f1c2aa202d086d9e6382e","JF105091","2021-12-31T13:00:00.000","1","DRIVER",,"1194606",,"HYUNDAI","SANTA FE","IL","2015","NONE","SPORT UTILITY VEHICLE (SUV)","PERSONAL","SE","TURNING LEFT",,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1255329","62acc5daf51d9f8af2f3e70098904e0a241fdd024b463725e54f379313b888d187472054e2414c5868c894280606c81a358b099b9d6bcd747136f83465f6bf13","JE493932","2021-12-31T12:47:00.000","1","DRIVER","1","1191581",,"FORD","OTHER (EXPLAIN IN NARRATIVE)","IL","2011","UNKNOWN","PASSENGER","PERSONAL","N","STRAIGHT AHEAD",,,"2",,,,,,,,,,,,,,,,,"Y","UNKNOWN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1255330","62acc5daf51d9f8af2f3e70098904e0a241fdd024b463725e54f379313b888d187472054e2414c5868c894280606c81a358b099b9d6bcd747136f83465f6bf13","JE493932","2021-12-31T12:47:00.000","2","PEDESTRIAN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1257503","a2fc08d7c5bbd1ef56f6dd1023c07951985f35614b4d9c7a91ba707a9c4de33cba1a058342fe8967b7d18d588be888e0ea40cebafe01729203744483dbbaa436","JF103110","2021-12-31T12:45:00.000","1","DRIVER",,"1193644",,"CHEVROLET","MALIBU","IL","2016","UNKNOWN","PASSENGER","PERSONAL","W","BACKING",,,"1",,,,,,,,,,,,,,,,,"Y","REAR-LEFT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1257504","a2fc08d7c5bbd1ef56f6dd1023c07951985f35614b4d9c7a91ba707a9c4de33cba1a058342fe8967b7d18d588be888e0ea40cebafe01729203744483dbbaa436","JF103110","2021-12-31T12:45:00.000","2","DRIVER",,"1193650",,"JEEP","PATRIOT","IL","2017","NONE","SPORT UTILITY VEHICLE (SUV)","PERSONAL","S","STRAIGHT AHEAD",,,"1",,,,,,,,,,,,,"Y","Y",,,,"ROOF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1255292","d6b30daf6d409e36503555e11c38be88be9c6a219133869945988acc6034ae514c3c907772673859fefe83127de044baf9c6b119ff915e2a70b992b6105e8d26","JE493954","2021-12-31T12:45:00.000","1","DRIVER",,"1191560",,"UNKNOWN","MOTORIZED","IL",,"UNKNOWN","MOPED OR MOTORIZED BICYCLE","PERSONAL","S","UNKNOWN/NA",,,"1",,,,,,,,,,,,,,,,,"Y","OTHER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1255293","d6b30daf6d409e36503555e11c38be88be9c6a219133869945988acc6034ae514c3c907772673859fefe83127de044baf9c6b119ff915e2a70b992b6105e8d26","JE493954","2021-12-31T12:45:00.000","2","PARKED",,"1191566",,"NISSAN","SENTRA","TN","2015","NONE","PASSENGER","NOT IN USE","S","PARKED",,,"0",,,,,,,,,,,"Y",,,,,,,"SIDE-LEFT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1255312","f7999cfcb19a2e2fa3ac1a0c374b58a18474fbec81464fd37a1aa86ca45a99af988f96c6049801d439accb95867c1882cb57f2713054dd36c894cdd71e6daf74","JE493962","2021-12-31T12:45:00.000","1","DRIVER",,"1191570",,"MERCEDES-BENZ","380 SERIES","IL","1985","UNKNOWN","PASSENGER","UNKNOWN/NA","SW","BACKING",,,"1",,,,,,,,,"Y",,,,,,,,,"REAR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1255313","f7999cfcb19a2e2fa3ac1a0c374b58a18474fbec81464fd37a1aa86ca45a99af988f96c6049801d439accb95867c1882cb57f2713054dd36c894cdd71e6daf74","JE493962","2021-12-31T12:45:00.000","2","DRIVER",,"1191575",,"HONDA","CR-V","IL","2020","UNKNOWN","PASSENGER","PERSONAL","S","STRAIGHT AHEAD",,,"1",,,,,,,,,,,,,,,"Y",,,"TOTAL (ALL AREAS)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1255287","d6023c5fbeb45276b6885272212a98dbd1d1efaf4ab470ef15b938029ebd992fac862800cfd091a9979ced79893c1bcbbba264a5414fe8db1d486baa951738eb","JE493949","2021-12-31T12:40:00.000","1","DRIVER",,"1191557",,"HONDA","FIT","IL","2009","NONE","PASSENGER","PERSONAL","E","STRAIGHT AHEAD",,,"1",,,,,"N",,,,,,,,,,,"Y",,"OTHER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1255288","d6023c5fbeb45276b6885272212a98dbd1d1efaf4ab470ef15b938029ebd992fac862800cfd091a9979ced79893c1bcbbba264a5414fe8db1d486baa951738eb","JE493949","2021-12-31T12:40:00.000","2","DRIVER","2","1191567",,"NISSAN","ROGUE","IL","2019","NONE","SPORT UTILITY VEHICLE (SUV)","PERSONAL","E","SLOW/STOP IN TRAFFIC",,,"3",,,,,,,,,,"Y","Y",,,,,,,"REAR-LEFT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1255285","d5a794a66ae75be7eef84fe0d96e68164db1a205522e37ba13d93bbc3d22477645d9f3ce0bb71ffd73968960bd9d73cd0ad0698b7aa9f3109b8c08383ba1d6d9","JE493934","2021-12-31T12:35:00.000","1","DRIVER",,"1191555",,"UNKNOWN","ENGINE","IL",,"UNKNOWN","UNKNOWN/NA","UNKNOWN/NA","E","STRAIGHT AHEAD",,,"1",,,,,,,,,,,,,,,"Y",,,"TOTAL (ALL AREAS)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1255286","d5a794a66ae75be7eef84fe0d96e68164db1a205522e37ba13d93bbc3d22477645d9f3ce0bb71ffd73968960bd9d73cd0ad0698b7aa9f3109b8c08383ba1d6d9","JE493934","2021-12-31T12:35:00.000","2","DRIVER",,"1191558",,"CHEVROLET","MALIBU","IL","2009","NONE","PASSENGER","PERSONAL","E","TURNING LEFT",,,"1",,,,,,,,,,,"Y",,,,,,,"SIDE-LEFT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1255310","4056ae957c7e293f83b458945e7e32c50f635ea49a12723b6a2d2a985b45190d1aa55e1f2c405d0b5776cd66af0495999d8aca704e96f947577f48face824f9e","JE493957","2021-12-31T12:30:00.000","1","DRIVER",,"1191568",,"UNKNOWN","OTHER (EXPLAIN IN NARRATIVE)","IN","2017","UNKNOWN","OTHER","OTHER","E","TURNING LEFT",,,"1",,,,,,,,,,,,,,,"Y",,,"TOTAL (ALL AREAS)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1255311","4056ae957c7e293f83b458945e7e32c50f635ea49a12723b6a2d2a985b45190d1aa55e1f2c405d0b5776cd66af0495999d8aca704e96f947577f48face824f9e","JE493957","2021-12-31T12:30:00.000","2","DRIVER",,"1191574",,"CHEVROLET","CRUZE","IL","2018","UNKNOWN","PASSENGER","PERSONAL","E","STRAIGHT AHEAD",,,"1",,,,,"Y","Y","Y","Y",,,,,,,,,,"SIDE-RIGHT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
